Name,Comment,Time,Likes,Reply Count
Amrita O'Sullivan,Brilliant video! Such an easy and logical explanation of APIs. Thanks!!,2021-12-26T17:23:21Z,1,1
IT k Funde,Thanks Amrita🙏☺️,2021-12-26T22:19:19Z,0,
Chidanand Pawar,"your way of teaching is amazing boss, love your teaching .. requesting you to , make videos bit more longer and deeper",2021-12-15T14:40:08Z,1,3
IT k Funde,Drop me mail on anshultiwari353@gmail.com,2021-12-18T10:56:49Z,0,
Chidanand Pawar,"@IT k Funde Sir , i need career guidance , how can i approach to you . i have 5 years experience in Telecom sector and now i have moved to IT , but i want to get expert in Linux , cloud , VM ware .technologies , please i request you to guide me accordimgly.",2021-12-18T08:55:09Z,1,
IT k Funde,Thanks Chidanand 👍,2021-12-15T19:17:58Z,0,
Hema Ashok,Bro please explain about API key,2021-12-14T06:47:59Z,0,0
Sumathy Suppiah,Keep up the excellent work that you are doing for the benefit of all,2021-11-23T04:55:48Z,1,1
IT k Funde,Thanks Sumathy ♥️,2021-11-23T22:45:06Z,0,
Sumathy Suppiah,Very clear and able to understand easily and the examples used are well selected ya,2021-11-23T04:51:02Z,1,1
IT k Funde,Thanks Sumathy ☺️🙏,2021-11-23T22:45:23Z,0,
Kamlesh Kumar,"Hi, do you also provide live training of GCP on any platform. Please suggest, I want to join!!",2021-11-12T11:25:25Z,1,1
IT k Funde,Hi Kamlesh I do these videos as weekend hustles but in future if I do launc a training or course I will let you know👍🙏,2021-11-17T00:55:33Z,0,
Kamil Mansoor,great efforts,2021-10-29T17:06:21Z,0,0
Education and Training at MA,Great explanation!,2021-10-27T23:56:02Z,1,1
IT k Funde,Thanks ☺️,2021-10-28T21:36:37Z,0,
Geeked-Out Basketball,Great practical explanation -- and I love your enthusiasm :),2021-10-25T15:08:17Z,1,1
IT k Funde,Thanks a lot 🙏☺️,2021-10-27T11:58:07Z,1,
Soumyadip Chatterjee,Container & Docker Lehmann video pls Sir,2021-10-18T19:21:24Z,0,0
Adam Dean,Best Explanation on the Internet.. thank you sir * applause*,2021-10-11T12:00:39Z,0,0
Andrzej Olijnyk,thank you!!!,2021-10-07T10:28:19Z,0,0
The Code Behavior,"https://youtu.be/v85VxJV7Rdo
Click to get more details with example",2021-09-28T18:14:59Z,0,0
UB,Just a masterpiece Man. I went through a lot of vidéos but you are the best,2021-09-27T02:25:53Z,0,0
George Tosounidis,Good one! Subscribed! :),2021-09-07T11:04:41Z,1,1
IT k Funde,Thanks George ☺️,2021-09-07T23:12:06Z,0,
High Caliber,This has got to be the most clear and detailed explanation of how API works! Thank you for sharing!,2021-09-07T05:10:58Z,8,1
IT k Funde,Thanks Mate ☺️☺️,2021-09-11T09:36:34Z,0,
Angel F.,"This was so helpful. I understand now, thank you very much.",2021-08-28T20:58:31Z,2,1
IT k Funde,Thanks Angel ☺️,2021-09-11T09:46:20Z,0,
SurferHawa,"Great vid! What I don't fully understand is how API are able to work when reaching a company's server or DB. For example, when I use a API to link a picture to my FB acct. Does FB has to provide coding upfront for that API to work?",2021-08-17T05:52:09Z,0,0
farrukh azad,"nice update dear friend , big like done for ur video , nice share , have a nice day , stay connected .",2021-08-09T05:44:10Z,0,0
Fatema Zohra,Excellent explanation! Thank you very much.,2021-08-06T21:09:11Z,0,0
Namitha G.O,"Very well explained. It helps beginners to get a strong understand of API. 
Can you please explain how  terra form works",2021-07-27T13:24:17Z,0,0
jtgriff76,This is so well thought out.  Thanks!,2021-07-21T20:51:23Z,1,1
IT k Funde,You are so welcome!,2021-07-22T13:51:21Z,0,
The Tanmay Singh,Best explanation of APIs,2021-07-08T20:08:14Z,1,2
The Tanmay Singh,@IT k Funde Your welcome 🙏,2021-07-09T09:26:27Z,0,
IT k Funde,Thanks Tanmay🙏☺️,2021-07-08T23:39:56Z,0,
JAYANTH,👌👌👌,2021-07-04T15:38:41Z,2,1
IT k Funde,🙏🙏,2021-07-04T17:59:28Z,0,
Amit Singh,very nice brother,2021-07-03T12:00:04Z,1,1
IT k Funde,Thanks Amit,2021-07-04T16:47:53Z,0,
Juliana Azevedo,Amazing explanation. Many thanks for that!,2021-07-01T15:44:58Z,2,1
IT k Funde,Thanks Juliana👍,2021-07-04T17:05:58Z,0,
Shonu Model Official,Thats a great explanation.,2021-06-29T08:18:51Z,0,0
Dhia Ameera,Very clear explanation. Congrats,2021-06-23T08:00:34Z,0,0
Ranjith Reddy,Perfect Examples to understand the API concept.,2021-06-22T08:20:28Z,3,1
IT k Funde,Thanks Ranjith ☺️☺️🙏🙏,2021-06-22T21:57:08Z,0,
GORGE,"Hey!  What happened to the sound on this?  All the other vids have strong volume but this one . . . Oops!

In sum, thank you for sharing your understanding of this topic.  Well done.",2021-06-21T17:32:03Z,1,1
IT k Funde,Yeah Gorge this one went bad on sound but I got it correected in later videos ☺️,2021-06-21T22:13:41Z,0,
Sweety Sravs,This is best video on API with teatime examples ...Great work,2021-06-18T13:43:18Z,1,1
IT k Funde,Thanks Sweety 🙏🙏☺️,2021-06-22T22:21:40Z,0,
Raj,Bhai I am a data engineer with a pharma company in USA and just got hooked on to this channel. Love your effort bro .. And lol yeah this look is perfect.,2021-05-31T21:50:16Z,1,1
IT k Funde,Thanks Raj ☺️,2021-06-01T16:47:24Z,0,
macksoneh,Can you please enable Youtube to auto-generate the closed captions (CC) from your video?,2021-05-29T20:19:47Z,1,1
IT k Funde,I tried but not sure why it doesnt work will check,2021-06-01T17:01:21Z,1,
Wesley Cook,Very good stuff!,2021-05-28T16:09:39Z,1,1
IT k Funde,Thanks Wesley,2021-05-28T18:59:52Z,0,
kareem keyaan,Bro thanks for the vedio....one request if possible use mic....ur voice is low,2021-05-23T08:18:56Z,0,0
Havisha Prajna,Very well explained 👍🏻,2021-04-06T16:25:11Z,1,1
IT k Funde,Thanks 🙏😊,2021-04-10T00:22:57Z,0,
Sunil Santosha,"hello master, This is the best explanation i found for an API, Thank you :)",2021-03-22T20:26:33Z,2,1
IT k Funde,Thanks Sunil :),2021-03-23T01:05:22Z,0,
Subrahmanyam Vemuri,Great explanation,2021-03-20T03:32:57Z,2,1
IT k Funde,Thanks,2021-03-28T00:25:22Z,0,
srinivasarao surabhi,Very Good way of explain the flow,2021-03-17T10:20:21Z,0,0
Shiva Kannan,Nice explanation.,2021-03-10T06:03:09Z,1,1
IT k Funde,Thanks Shiva,2021-03-13T15:25:49Z,0,
Rajvansh Chauhan,"Awesome Bhai! Please do one on platforms and its lifecycle, i.e how to build and release a platform",2021-03-07T16:48:52Z,5,0
KAUSHIK SHAH,"I have seen multiple videos of yours, the best thing about them is the examples that you come up with. You make the most complex topic easy to understand. Kudos to you.",2021-03-06T05:52:12Z,2,0
Ana Teresa Doña Vial,Thank you for the video,2021-03-05T20:23:51Z,0,0
Stanislaus Tebid,Thank you so much! Subscribed!!,2021-02-21T23:25:39Z,2,1
IT k Funde,Thanks Mate ☺️,2021-02-21T23:45:09Z,0,
Sharda Govender,"Watching from South Africa, definitely like your videos.. Keep posting 🙂",2021-02-10T12:45:07Z,3,1
IT k Funde,Thanks Sharda 😊,2021-02-10T23:07:01Z,0,
That1guy S,Very helpful,2021-02-08T06:26:19Z,0,0
